dataset_name,accuracy,precision,recall,f1
Test_Datset_1,0.79011976,0.954929577,0.608982036,0.743692870
Test_Datset_2,0.738230885,0.711864407,0.826126126,0.764750851
Test_Datset_3,0.905247376,0.840540541,0.86006006,0.850188277835252
Test_Datset_4,0.812531328,0.877777778,0.865656566,0.871675036
